0:0:0,x,y,z
0:4:16.22,16271.88,-24218.75,-31117.19
0:4:16.43,8279.691,30290.62,43531.25
0:4:16.65,20164.06,-4987.5,-53548.44
0:4:16.86,-27128.12,-1300.0,-35490.62
0:4:17.7,33481.25,-8454.691,29928.12
0:4:17.27,-9570.31,42457.81,37684.38
0:4:17.48,29953.12,-7992.19,-25067.19
0:4:17.69,11693.75,-9753.119,-13846.88
0:4:17.91,-13170.31,5926.56,18682.81
0:4:18.12,-2123.44,5715.62,3548.44
0:4:18.33,11182.81,-10915.62,184.38
0:4:18.54,-29412.5,-43712.5,21234.38
0:4:18.75,7889.06,31695.31,14826.56
0:4:19.2,-8014.06,-11923.44,1954.69
0:4:19.22,15050.0,-8106.25,-22131.25
0:4:19.44,-11957.81,38145.31,35818.75
0:4:19.65,5918.75,-4545.31,-24959.38
0:4:19.86,-13156.25,2245.31,-63581.25
0:4:20.7,182.81,-24910.94,45942.19
0:4:20.27,-8171.88,-22082.81,25528.12
0:4:20.49,-24478.12,-1510.94,-14171.88
0:4:20.71,26246.88,-8556.251,14073.44
0:4:20.92,-22617.19,37540.62,33781.25
0:4:21.13,44004.69,5800.0,-26453.12
0:4:21.34,-5612.5,-13473.44,-60842.19
0:4:21.56,8628.119,1700.0,51429.69
0:4:21.78,21946.88,-5043.75,-22067.19
0:4:22.0,-13190.62,8337.501,-44287.5
0:4:22.21,27498.44,-9984.38,32125.0
0:4:22.47,-22809.38,-14998.44,18807.81
0:4:22.68,-43014.06,-9085.94,-12418.75
0:4:22.91,25814.06,-2829.69,2823.44
0:4:23.12,-12709.38,44606.25,26703.12
0:4:23.33,18556.25,-16637.5,-21140.62
0:4:23.55,6225.0,-17604.69,-29162.5
0:4:23.76,1389.06,11226.56,45045.31
0:4:23.97,26829.69,5556.25,-42423.44
0:4:24.19,-17706.25,10378.12,-37853.12
0:4:24.41,27025.0,-12789.06,29690.62
0:4:24.62,-1803.12,8664.06,45921.88
0:4:24.84,-31812.5,-8253.119,-2050.0
0:4:25.6,7260.94,-25964.06,-4309.38
0:4:25.28,-17507.81,26771.88,42312.5
0:4:25.50,-2098.44,-11596.88,68470.31
0:4:25.72,-5168.75,-17803.12,-51834.38
0:4:25.99,-14029.69,16673.44,64848.44
0:4:26.21,-2520.31,-1448.44,60781.25
0:4:26.44,-10375.0,-1670.31,-48279.69
0:4:26.66,2628.12,-3326.56,40126.56
0:4:26.87,20084.38,-7081.25,-504.69
0:4:27.9,-26018.75,-3821.88,-31445.31
0:4:27.30,23025.0,-3895.31,7020.31
0:4:27.52,11837.5,45893.75,22248.44
0:4:27.75,-909.38,39007.81,-24739.06
0:4:27.98,47279.69,-11104.69,-16742.19
0:4:28.20,-35029.69,-310.94,1725.0
0:4:28.42,10521.88,10951.56,-2298.44
0:4:28.65,629.69,-5485.94,-6803.12
0:4:28.87,-13570.31,-12295.31,-631.25
0:4:29.10,-2265.62,19651.56,-5557.81
0:4:29.33,4879.69,-23193.75,8164.061
0:4:29.59,-3207.81,4612.5,-5237.5
0:4:29.81,-37378.12,-20506.25,31898.44
0:4:30.3,16431.25,-14831.25,-39065.62
0:4:30.25,-12567.19,-13843.75,31532.81
0:4:30.46,15242.19,-4625.0,18885.94
0:4:30.69,-16790.62,926.56,-9515.62
0:4:30.92,117.19,-4526.56,-5628.12
0:4:31.14,3576.56,37693.75,-49521.88
0:4:31.36,-17478.12,-5898.44,-3906.25
0:4:31.58,15157.81,3406.25,-16529.69
0:4:31.80,-8487.5,11560.94,57354.69
0:4:32.3,656.25,-2537.5,64264.06
0:4:32.24,-15556.25,-8587.501,-43985.94
0:4:32.46,6756.25,-22918.75,39187.5
0:4:32.69,13956.25,-11826.56,10400.0
0:4:32.91,-28512.5,4704.69,-33518.75
0:4:33.19,12718.75,-6157.81,33737.5
0:4:33.42,27284.38,-28048.44,10093.75
0:4:33.65,-35901.56,-3353.12,-32635.94
0:4:33.91,13503.12,-10396.88,30112.5
0:4:34.11,-13210.94,1739.06,29379.69
0:4:34.31,-34209.38,-9887.5,-4978.12
0:4:34.52,35246.88,-6507.81,-1498.44
0:4:34.73,-18343.75,28109.38,36748.44
0:4:34.94,-6892.19,-6428.12,60856.25
0:4:35.15,79.69,7568.75,-55839.06
0:4:35.35,806.25,-19393.75,40496.88
0:4:35.56,-33464.06,537.5,22342.19
0:4:35.77,-24834.38,1337.5,-19290.62
0:4:35.97,26306.25,-15732.81,2087.5
0:4:36.18,-19606.25,34359.38,21468.75
0:4:36.39,-10632.81,-11021.88,58329.69
0:4:36.64,17507.81,-9295.31,-21507.81
0:4:36.84,5356.25,276.56,25734.38
0:4:37.5,32398.44,485.94,-10525.0
0:4:37.24,-37565.62,3412.5,-38846.88
0:4:37.45,32370.31,-17048.44,23675.0
0:4:37.67,-10306.25,12293.75,-56817.19
0:4:37.88,-3995.31,-2492.19,-6203.12
0:4:38.9,6242.19,-8581.25,-27456.25
0:4:38.29,12865.62,7250.0,34815.62
0:4:38.50,28660.94,-7350.0,-15879.69
0:4:38.70,-26357.81,7159.379,-36057.81
0:4:38.92,18531.25,-7959.38,23459.38
0:4:39.13,-1312.5,21632.81,-59337.5
0:4:39.33,22226.56,16406.25,-37176.56
0:4:39.54,13042.19,-19032.81,-23853.12
0:4:39.75,5185.94,15148.44,39839.06
0:4:40.2,9857.81,-2551.56,-38898.44
0:4:40.22,-12275.0,-12910.94,-45868.75
0:4:40.43,13625.0,2000.0,45689.06
0:4:40.64,2296.88,-13601.56,8745.31
0:4:40.85,-42114.06,-7810.94,-1556.25
0:4:41.6,14782.81,-10959.38,-13378.12
0:4:41.26,-20035.94,37039.06,42696.88
0:4:41.48,22632.81,-10676.56,-25590.62
0:4:41.70,18951.56,-3107.81,-47025.0
0:4:41.91,25959.38,2175.0,36804.69
0:4:42.12,46351.56,-5601.56,-225.0
0:4:42.33,-29764.06,6160.94,-55410.94
0:4:42.54,26896.88,-6912.5,32692.19
0:4:42.75,-29534.38,-5695.31,-63501.56
0:4:42.97,-57239.06,-27014.06,-3890.62
0:4:43.18,38982.81,-11451.56,-16389.06
0:4:43.44,353.12,5646.88,-61096.88
0:4:43.66,-13521.88,-14300.0,-17029.69
0:4:43.87,31384.38,-9807.81,-1256.25
0:4:44.8,-9534.38,17817.19,68623.44
0:4:44.28,-59.38,9029.691,54525.0
0:4:44.50,-18628.12,-13418.75,-40550.0
0:4:44.72,6854.69,13993.75,40181.25
0:4:44.93,45895.31,-16846.88,-13210.94
0:4:45.14,-30226.56,503.12,-32584.38
0:4:45.36,26070.31,-10925.0,21320.31
0:4:45.57,-17345.31,454.69,31945.31
0:4:45.79,-42973.44,-9645.309,-7218.75
0:4:46.2,26593.75,-7395.31,-3403.12
0:4:46.22,-14932.81,38203.12,22612.5
0:4:46.43,11428.12,-11073.44,-31362.5
0:4:46.64,-14653.12,-12632.81,-49131.25
0:4:46.91,-12706.25,22637.5,58293.75
0:4:47.13,8837.501,7078.12,56492.19
0:4:47.34,-18129.69,-10737.5,-42437.5
0:4:47.56,15951.56,9814.059,42807.81
0:4:47.77,32770.31,-22056.25,-26060.94
0:4:47.99,-24951.56,8431.251,-38800.0
0:4:48.21,30964.06,-3807.81,41600.0
0:4:48.42,-9714.06,7414.06,29093.75
0:4:48.65,-45804.69,9957.809,-15014.06
0:4:48.87,26000.0,-25828.12,6345.31
0:4:49.9,-26176.56,36496.88,39120.31
0:4:49.30,25500.0,-31835.94,-21175.0
0:4:49.52,21884.38,-16182.81,-16575.0
0:4:49.74,-7656.25,17835.94,59425.0
0:4:49.96,-8514.06,-12209.38,67092.19
0:4:50.18,-17293.75,-14392.19,-40518.75
0:4:50.45,-11595.31,29920.31,51056.25
0:4:50.67,-8042.19,-12379.69,-26125.0
0:4:50.89,-17078.12,-13085.94,-49870.31
0:4:51.11,-7860.94,2893.75,52168.75
0:4:51.34,38612.5,-8926.559,-34953.12
0:4:51.56,-29585.94,13904.69,-46943.75
0:4:51.79,6921.88,-4867.19,41553.12
0:4:52.1,14646.88,-7225.0,18725.0
0:4:52.23,-42898.44,13123.44,-19598.44
0:4:52.45,37315.62,-19996.88,-3975.0
0:4:52.67,-3056.25,24542.19,46200.0
0:4:52.90,-34550.0,-3737.5,-8581.25
0:4:53.13,32770.31,-3068.75,-33060.94
0:4:53.35,-27492.19,-3095.31,-40326.56
0:4:53.57,3823.44,-22029.69,-11717.19
0:4:53.79,45456.25,4796.88,-42306.25
0:4:54.7,-12559.38,17651.56,-68684.38
0:4:54.29,4078.12,2039.06,-31096.88
0:4:54.51,40548.44,-13028.12,-6484.38
0:4:54.73,-23848.44,27381.25,42953.12
0:4:54.95,6585.94,-16145.31,-25860.94
0:4:55.17,12173.44,5453.12,-55365.62
0:4:55.39,20365.62,-1729.69,45714.06
0:4:55.61,37273.44,-21653.12,-41845.31
0:4:55.83,-27479.69,-12510.94,-33487.5
0:4:56.6,3354.69,-40.62,55020.31
0:4:56.27,52384.38,-23629.69,-40264.06
0:4:56.50,-40550.0,14676.56,-40282.81
0:4:56.72,4287.5,-14845.31,49731.25
0:4:56.95,-3173.44,-13228.12,16826.56
0:4:57.18,-20195.31,8701.56,-48318.75
0:4:57.40,30906.25,-18120.31,40182.81
0:4:57.68,24150.0,-29042.19,-22267.19
0:4:57.94,-18562.5,198.44,-54112.5
0:4:58.16,4773.44,-8267.191,47989.06
0:4:58.37,24129.69,-18267.19,10350.0
0:4:58.58,-20448.44,7942.19,-37785.94
0:4:58.79,26757.81,-11429.69,24931.25
0:4:58.99,9979.691,45901.56,-49957.81
0:4:59.20,31273.44,-7748.44,-25457.81
0:4:59.41,31589.06,7600.0,-32943.75
0:4:59.61,-14181.25,6012.5,42929.69
0:4:59.81,29003.12,-13187.5,-24904.69
0:5:0.2,-37843.75,-2728.12,-22576.56
0:5:0.21,20789.06,-15776.56,14267.19
0:5:0.41,-16160.94,43225.0,40517.19
0:5:0.61,14239.06,-3909.38,-22634.38
0:5:0.81,-6731.25,-1365.62,-67170.31
0:5:1.7,-27414.06,16721.88,41868.75
0:5:1.26,26887.5,-1185.94,-38773.44
0:5:1.47,-21768.75,6965.62,-41690.62
0:5:1.67,34820.31,-15271.88,37139.06
0:5:1.87,-10710.94,37814.06,34625.0
0:5:2.6,17151.56,-859.38,-25953.12
0:5:2.25,-5807.81,-6635.94,-63037.5
0:5:2.45,7739.06,-2762.5,40298.44
0:5:2.64,-2125.0,-23925.0,-62746.88
0:5:2.85,-45728.12,-10060.94,1992.19
0:5:3.5,28812.5,-29126.56,8010.94
0:5:3.24,-19471.88,29278.12,49918.75
0:5:3.44,9050.0,-14865.62,-45464.06
0:5:3.64,-16204.69,1175.0,-41423.44
0:5:3.84,23598.44,-9173.441,10660.94
0:5:4.5,-8565.619,23210.94,24487.5
0:5:4.29,-12765.62,7153.12,-7039.06
0:5:4.49,5187.5,-11353.12,18275.0
0:5:4.69,-21095.31,42548.44,27912.5
0:5:4.89,14200.0,-13490.62,-36876.56
0:5:5.10,-13709.38,-18620.31,-33310.94
0:5:5.30,-2796.88,2196.88,29360.94
0:5:5.50,-3215.62,11606.25,5670.31
0:5:5.70,-10448.44,-9467.191,16615.62
0:5:5.90,25257.81,-17242.19,-13142.19
0:5:6.11,-38712.5,35181.25,34998.44
0:5:6.31,9125.0,-10700.0,-37035.94
0:5:6.51,-24456.25,-22751.56,-39371.88
0:5:6.72,26870.31,257.81,24248.44
0:5:6.92,-42823.44,20676.56,19314.06
0:5:7.13,-23934.38,16418.75,-21185.94
0:5:7.33,27351.56,1153.12,14340.62
0:5:7.59,-15675.0,46973.44,12937.5
0:5:7.79,-12014.06,-23114.06,-8867.19
0:5:7.99,29923.44,-32870.31,-5307.81
0:5:8.19,2368.75,-3484.38,10909.38
0:5:8.39,34179.69,2375.0,-17959.38
0:5:8.61,-6990.62,-7801.56,-22218.75
0:5:8.81,13660.94,2370.31,6195.31
0:5:9.1,-19339.06,56995.31,32968.75
0:5:9.20,7026.56,-7242.19,-23729.69
0:5:9.41,-2796.88,-996.88,-54415.62
0:5:9.61,2289.06,-18321.88,38006.25
0:5:9.81,12910.94,23667.19,-4003.12
0:5:10.3,-6020.31,-8276.56,-28868.75
0:5:10.24,34835.94,4989.06,4009.38
0:5:10.45,-23301.56,49037.5,37625.0
0:5:10.67,31284.38,434.38,-36196.88
0:5:10.93,18395.31,-6254.69,-16001.56
0:5:11.15,-24854.69,35150.0,38223.44
0:5:11.37,23662.5,-21531.25,-26112.5
0:5:11.59,-21531.25,-17790.62,-47254.69
0:5:11.81,-9379.691,20545.31,34978.12
0:5:12.3,18309.38,-18228.12,-51762.5
0:5:12.24,-13796.88,-8918.75,-36959.38
0:5:12.46,7292.19,-14539.06,37079.69
0:5:12.67,-15010.94,-17360.94,39578.12
0:5:12.90,-46614.06,-5700.0,523.44
0:5:13.12,39868.75,-5084.38,3764.06
0:5:13.34,-12918.75,44500.0,29842.19
0:5:13.56,33462.5,18564.06,-36467.19
0:5:13.78,14550.0,-19200.0,-45329.69
0:5:14.0,-12256.25,23203.12,31759.38
0:5:14.22,21320.31,-16998.44,-42678.12
0:5:14.49,15540.62,-1450.0,-41010.94
0:5:14.72,-22107.81,29614.06,26279.69
0:5:14.94,11342.19,-5928.12,-45950.0
0:5:15.16,-4848.44,-14559.38,-53078.12
0:5:15.38,800.0,7485.94,38434.38
0:5:15.60,30976.56,-4404.69,-23748.44
0:5:15.84,-38767.19,-17959.38,-47003.12
0:5:16.5,8648.44,3200.0,39454.69
0:5:16.27,-14496.88,10304.69,-5626.56
0:5:16.49,-31017.19,-17673.44,1226.56
0:5:16.71,32254.69,7818.75,5575.0
0:5:16.94,14934.38,17070.31,-58492.19
0:5:17.16,-9795.31,4345.31,-2921.88
0:5:17.38,30118.75,-15509.38,-19226.56
0:5:17.60,-26006.25,30531.25,45376.56
0:5:17.82,-3042.19,2820.31,-46975.0
0:5:18.9,23715.62,-15126.56,-24259.38
0:5:18.30,-17904.69,32514.06,40506.25
0:5:18.52,6618.75,-9490.62,47873.44
0:5:18.76,4006.25,-12968.75,-39920.31
0:5:18.98,-4545.31,11671.88,35960.94
0:5:19.20,22107.81,-16709.38,-20950.0
0:5:19.42,-29243.75,-184.38,-28932.81
0:5:19.64,22846.88,-13514.06,39445.31
0:5:19.87,2360.94,32973.44,11162.5
0:5:20.10,-18501.56,9623.441,-19234.38
0:5:20.32,38096.88,-3318.75,12432.81
0:5:20.55,1637.5,21782.81,40434.38
0:5:20.77,-16295.31,-8654.691,16689.06
0:5:21.0,16073.44,-8156.25,-22289.06
0:5:21.21,-15393.75,31087.5,36389.06
0:5:21.44,168.75,8981.25,59487.5
0:5:21.76,34553.12,-11053.12,11834.38
0:5:21.96,-24706.25,41128.12,21387.5
0:5:22.16,-3570.31,-9634.379,58935.94
0:5:22.37,-43304.69,-25664.06,-51582.81
0:5:22.57,13131.25,-20932.81,55525.0
0:5:22.78,5809.38,-13846.88,17067.19
0:5:22.99,-26557.81,-2614.06,9229.691
0:5:23.20,28870.31,-19421.88,-4787.5
0:5:23.41,-30160.94,37609.38,38910.94
0:5:23.62,14920.31,-25576.56,63593.75
0:5:23.83,-34956.25,896.88,-59834.38
0:5:24.3,29654.69,-3848.44,44006.25
0:5:24.24,14429.69,31889.06,25001.56
0:5:24.44,-14562.5,-13887.5,-6485.94
0:5:24.65,23782.81,-1840.62,14948.44
0:5:24.85,-17904.69,-1314.06,-5318.75
0:5:25.11,485.94,3346.88,-967.19
0:5:25.32,5698.44,-303.12,4954.69
0:5:25.53,-9340.62,-12178.12,-5375.0
0:5:25.73,7042.19,20210.94,103.12
0:5:25.94,8810.941,-2982.81,-478.12
0:5:26.15,-410.94,9490.62,7912.5
0:5:26.35,-3125.0,-7451.56,-10851.56
0:5:26.56,545.31,1778.12,8057.811
0:5:26.77,2004.69,3220.31,1279.69
0:5:26.98,581.25,-11245.31,106.25
0:5:27.19,-10185.94,1017.19,31820.31
0:5:27.40,35481.25,-4571.88,-39259.38
0:5:27.61,19764.06,-9382.81,10706.25
0:5:27.82,-8421.88,34396.88,46482.81
0:5:28.3,38359.38,9337.501,-18310.94
0:5:28.23,7923.44,-16437.5,-47550.0
0:5:28.49,-21354.69,32748.44,33532.81
0:5:28.71,22081.25,-15535.94,-47812.5
0:5:28.92,-29995.31,412.5,-40293.75
0:5:29.12,25914.06,-17062.5,21603.12
0:5:29.33,6139.06,50956.25,-56989.06
0:5:29.55,5089.06,6029.69,-26351.56
0:5:29.76,-18789.06,4921.88,-46575.0
0:5:29.97,7726.56,-39335.94,33539.06
0:5:30.18,14265.62,48654.69,23637.5
0:5:30.39,-9540.62,17531.25,-51782.81
0:5:30.60,-12501.56,6960.94,14151.56
0:5:30.81,-4217.19,-14454.69,16042.19
0:5:31.3,3667.19,-10048.44,11951.56
0:5:31.24,-9114.059,7012.5,-44739.06
0:5:31.45,7670.31,-45379.69,8353.12
0:5:31.66,-13042.19,9075.0,-7218.75
0:5:31.94,1940.62,-10806.25,5529.69
0:5:32.15,16460.94,18651.56,-22156.25
0:5:32.37,-46201.56,-44770.31,-26465.62
0:5:32.58,-21957.81,-39990.62,9264.06
0:5:32.79,45243.75,-28259.38,15587.5
0:5:33.0,1495.31,39242.19,-7023.44
0:5:33.20,4317.19,7896.88,6823.44
0:5:33.42,14857.81,-1048.44,16693.75
0:5:33.63,8543.75,-12301.56,19206.25
0:5:33.85,14396.88,-11581.25,7314.06
0:5:34.7,-14259.38,-6746.88,-18481.25
0:5:34.28,2507.81,1454.69,9201.56
0:5:34.49,-4060.94,12721.88,20265.62
0:5:34.71,-9884.379,10770.31,-1176.56
0:5:34.93,-30693.75,-27231.25,-1301.56
0:5:35.15,21928.12,13368.75,9300.0
0:5:35.42,-4646.88,28368.75,-731.25
0:5:35.63,3668.75,-45253.12,6065.62
0:5:35.85,-4628.12,-36576.56,2400.0
0:5:36.7,-2425.0,-10403.12,-9379.691
0:5:36.28,5820.31,470.31,10589.06
0:5:36.50,7267.19,54443.75,24610.94
0:5:36.72,-223.44,31573.44,2796.88
